GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Margin of Error; Total: - Some other race alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
0400000US01,01,Alabama,4830620,*****,3325464,2653,1276544,2499,23850,1026,59599,1379,2439,742,61078,2975,81646,2273,7032,953,74614,2114
0400000US02,02,Alaska,733375,*****,484250,1236,25022,803,101313,1735,42921,994,8841,428,9273,1039,61755,2190,3202,548,58553,2135
0400000US04,04,Arizona,6641928,*****,5210335,10167,281576,2672,294721,2084,200090,1909,12471,774,430890,9216,211845,4480,47488,2680,164357,3451
0400000US05,05,Arkansas,2958208,*****,2307849,3220,459748,1380,18409,1149,40336,1027,6845,528,62484,2957,62537,2157,5557,686,56980,1904
0400000US06,06,California,38421464,*****,23747013,29085,2265387,6484,287028,6335,5261978,9037,150370,1984,4974791,34901,1734897,20243,396499,8915,1338398,14412
0400000US08,08,Colorado,5278906,*****,4446095,6344,213787,2269,50008,2126,153467,2349,7695,713,224374,5345,183480,5072,35786,2303,147694,4109
0400000US09,09,Connecticut,3593222,*****,2778362,5260,370501,2888,8908,783,150670,1067,981,189,181881,4802,101919,2876,24131,1696,77788,2438
0400000US10,10,Delaware,926454,*****,642623,1952,200481,1327,3140,418,33643,599,306,141,20995,1938,25266,1451,2699,544,22567,1417
0400000US11,11,District of Columbia,647484,*****,260325,1535,316447,1266,2154,604,23822,493,250,96,27159,1827,17327,1017,2442,463,14885,906
0400000US12,12,Florida,19645772,*****,14934702,11160,3171108,7647,54569,2023,509085,3462,11024,793,493202,10699,472082,9024,87803,4206,384279,7273
0400000US13,13,Georgia,10006693,*****,6025691,7655,3096757,4598,25887,1751,360448,2439,4704,499,279403,7584,213803,5426,31108,1816,182695,5127
0400000US15,15,Hawaii,1406299,*****,357164,1752,28688,1003,3012,349,530551,4003,138901,2345,14864,1375,333119,4831,10332,1168,322787,4653
0400000US16,16,Idaho,1616547,*****,1482914,3009,9900,701,20504,1175,21711,1056,1921,327,38371,2576,41226,1823,4935,748,36291,1701
0400000US17,17,Illinois,12873761,*****,9312771,10563,1846108,4053,28363,1728,645642,2421,3407,385,747933,11701,289537,5794,58178,2498,231359,4703
0400000US18,18,Indiana,6568645,*****,5529201,4887,603014,2991,14793,882,121729,1438,2285,415,152022,5357,145601,4471,19143,1640,126458,4066
0400000US19,19,Iowa,3093526,*****,2820046,2376,97788,1575,9977,755,62997,953,1882,262,39872,2440,60964,2159,6004,747,54960,1938
0400000US20,20,Kansas,2892987,*****,2464566,3155,168402,1874,24022,1013,75653,925,1796,229,63183,2534,95365,2570,10092,928,85273,2414
0400000US21,21,Kentucky,4397353,*****,3851591,2662,347034,2166,9063,799,55483,811,2197,329,41149,2284,90836,2455,7466,888,83370,2278
0400000US22,22,Louisiana,4625253,*****,2902538,2855,1484363,2807,27238,1059,77818,994,1824,479,47595,2558,83877,3085,9281,1082,74596,2797
0400000US23,23,Maine,1329100,*****,1262026,575,15037,581,7811,384,14590,572,187,67,3151,468,26298,947,884,202,25414,925
0400000US24,24,Maryland,5930538,*****,3416107,5380,1750916,3578,15579,983,357616,1659,2754,259,211914,5603,175652,4158,20414,1615,155238,3987
0400000US25,25,Massachusetts,6705586,*****,5334859,5531,478947,3918,13189,1034,400675,2124,1644,338,281595,5553,194677,4853,33178,1972,161499,4682
0400000US26,26,Michigan,9900571,*****,7823875,3726,1381388,2978,53951,1445,268766,1842,2083,305,109184,3772,261324,3740,24951,1359,236373,3458
0400000US27,27,Minnesota,5419171,*****,4594367,3984,299176,2218,56561,1213,240786,1496,1970,274,82085,3812,144226,3055,11014,982,133212,2896
0400000US28,28,Mississippi,2988081,*****,1768174,1866,1116457,1738,12896,759,28900,757,409,141,25911,1796,35334,1813,3464,597,31870,1628
0400000US29,29,Missouri,6045448,*****,4995527,3051,697022,2845,24951,1124,106537,1495,6161,523,67605,2615,147645,3925,13099,1215,134546,3526
0400000US30,30,Montana,1014699,*****,904977,877,4757,424,65693,1080,7187,492,848,263,5460,816,25777,1429,1344,320,24433,1385
0400000US31,31,Nebraska,1869365,*****,1647551,2364,88195,1233,16319,741,38066,621,1280,281,36359,2148,41595,1396,4802,731,36793,1291
0400000US32,32,Nevada,2798636,*****,1929661,6519,235721,2175,31393,1361,214846,1776,17942,613,246138,6914,122935,4229,19626,1625,103309,3719
0400000US33,33,New Hampshire,1324201,*****,1241313,1221,17439,946,2238,354,31364,694,228,99,7273,960,24346,1073,2243,423,22103,947
0400000US34,34,New Jersey,8904413,*****,6083940,7433,1202300,3937,18335,1385,804989,2625,2808,480,568215,9128,223826,4671,52672,2445,171154,4105
0400000US35,35,New Mexico,2084117,*****,1524911,6557,43738,1304,190528,2190,28761,1039,1276,294,226850,6017,68053,2988,23997,1873,44056,1992
0400000US36,36,New York,19673174,*****,12704637,16077,3070392,8048,74793,2990,1570223,3844,6485,624,1685765,18762,560879,8910,153078,5067,407801,7409
0400000US37,37,North Carolina,9845333,*****,6839831,7865,2115338,4527,116143,1783,244076,1986,6244,791,292310,7323,231391,5596,28209,2188,203182,5042
0400000US38,38,North Dakota,721640,*****,640208,790,11872,673,38286,711,8979,368,304,106,5859,725,16132,1114,952,269,15180,1111
0400000US39,39,Ohio,11575977,*****,9538328,3446,1412045,3799,21646,1207,216170,2068,3060,426,97516,3532,287212,4870,23289,1367,263923,4619
0400000US40,40,Oklahoma,3849733,*****,2813794,3249,278571,2141,279276,2647,74570,1222,4701,330,98885,2607,299936,3637,15087,1054,284849,3429
0400000US41,41,Oregon,3939233,*****,3352941,5739,72837,1727,46258,1878,156695,1935,15042,691,132667,5395,162793,3886,17054,1584,145739,3268
0400000US42,42,Pennsylvania,12779559,*****,10430142,6669,1403143,4887,23641,1483,392595,2221,4279,924,253070,6293,272689,5643,35774,2217,236915,5258
0400000US44,44,Rhode Island,1053661,*****,854859,2731,68243,1838,5106,594,34213,712,373,179,61085,3190,29782,1640,6665,916,23117,1363
0400000US45,45,South Carolina,4777576,*****,3210708,3608,1315058,2868,14966,948,66982,845,2588,556,73324,3448,93950,3250,10215,1164,83735,3131
0400000US46,46,South Dakota,843190,*****,716691,1087,13133,645,72619,1161,10152,455,332,122,7940,895,22323,1108,1306,323,21017,1045
0400000US47,47,Tennessee,6499615,*****,5059894,4299,1091070,3037,17802,1408,102027,1470,3323,546,96739,4082,128760,3562,12111,1251,116649,3169
0400000US48,48,Texas,26538614,*****,19874610,19131,3152917,5810,126493,4078,1124011,3988,21655,1198,1585866,16488,653062,10302,149597,5893,503465,7520
0400000US49,49,Utah,2903379,*****,2544735,4907,31909,981,31824,1250,64102,1477,26147,894,129907,4843,74755,2608,12962,1365,61793,2257
0400000US50,50,Vermont,626604,*****,594443,412,6949,379,2018,234,8774,324,249,91,2002,342,12169,587,528,139,11641,549
0400000US51,51,Virginia,8256630,*****,5695147,5990,1589345,3850,22570,1347,492973,2605,5304,450,183124,5359,268167,5593,29832,2002,238335,5378
0400000US53,53,Washington,6985464,*****,5434177,7113,253224,3115,93266,2189,535501,3217,44159,939,264432,6779,360705,5741,34969,2177,325736,5302
0400000US54,54,West Virginia,1851420,*****,1732235,1074,61367,1269,2953,418,13485,484,625,278,4566,778,36189,1235,1512,338,34677,1244
0400000US55,55,Wisconsin,5742117,*****,4967124,3205,360792,1996,50449,1188,143732,1226,1233,222,96057,3251,122730,3164,14839,1342,107891,2503
0400000US56,56,Wyoming,579679,*****,527763,1422,6142,595,12658,665,5319,410,423,255,11885,1245,15489,915,1920,404,13569,872
0400000US72,72,Puerto Rico,3583073,*****,2495997,9921,301519,5947,11775,1292,10159,1137,129,77,431443,6402,332051,6762,19269,1434,312782,6707
