GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Not Hispanic or Latino,Margin of Error; Total: - Not Hispanic or Latino,Estimate; Total: - Hispanic or Latino,Margin of Error; Total: - Hispanic or Latino
0500000US01001,01001,"Autauga County, Alabama",55221,*****,53781,*****,1440,*****
0500000US01003,01003,"Baldwin County, Alabama",195121,*****,186345,*****,8776,*****
0500000US01005,01005,"Barbour County, Alabama",26932,*****,25691,*****,1241,*****
0500000US01007,01007,"Bibb County, Alabama",22604,*****,22102,*****,502,*****
0500000US01009,01009,"Blount County, Alabama",57710,*****,52730,*****,4980,*****
0500000US01011,01011,"Bullock County, Alabama",10678,*****,10205,482,473,482
0500000US01013,01013,"Butler County, Alabama",20354,*****,20114,*****,240,*****
0500000US01015,01015,"Calhoun County, Alabama",116648,*****,112573,*****,4075,*****
0500000US01017,01017,"Chambers County, Alabama",34079,*****,33927,89,152,89
0500000US01019,01019,"Cherokee County, Alabama",26008,*****,25617,*****,391,*****
0500000US01021,01021,"Chilton County, Alabama",43819,*****,40469,*****,3350,*****
0500000US01023,01023,"Choctaw County, Alabama",13395,*****,13347,48,48,48
0500000US01025,01025,"Clarke County, Alabama",25070,*****,24985,63,85,63
0500000US01027,01027,"Clay County, Alabama",13537,*****,13107,*****,430,*****
0500000US01029,01029,"Cleburne County, Alabama",15002,*****,14657,*****,345,*****
0500000US01031,01031,"Coffee County, Alabama",50884,*****,47608,*****,3276,*****
0500000US01033,01033,"Colbert County, Alabama",54444,*****,53123,*****,1321,*****
0500000US01035,01035,"Conecuh County, Alabama",12865,*****,12655,*****,210,*****
0500000US01037,01037,"Coosa County, Alabama",11027,*****,10790,*****,237,*****
0500000US01039,01039,"Covington County, Alabama",37886,*****,37306,*****,580,*****
0500000US01041,01041,"Crenshaw County, Alabama",13938,*****,13701,*****,237,*****
0500000US01043,01043,"Cullman County, Alabama",80965,*****,77472,*****,3493,*****
0500000US01045,01045,"Dale County, Alabama",49866,*****,46886,*****,2980,*****
0500000US01047,01047,"Dallas County, Alabama",42154,*****,42024,90,130,90
0500000US01049,01049,"DeKalb County, Alabama",71068,*****,61111,*****,9957,*****
0500000US01051,01051,"Elmore County, Alabama",80763,*****,78534,*****,2229,*****
0500000US01053,01053,"Escambia County, Alabama",37935,*****,37469,185,466,185
