GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Margin of Error; Total: - Some other race alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
0500000US01001,01001,"Autauga County, Alabama",55221,*****,42741,428,10315,254,230,87,534,176,24,31,511,457,866,300,74,76,792,281
0500000US01003,01003,"Baldwin County, Alabama",195121,*****,168646,727,18735,577,1166,343,1307,329,0,27,1870,676,3397,669,738,445,2659,584
0500000US01005,01005,"Barbour County, Alabama",26932,*****,12756,239,12595,205,52,43,244,158,0,21,928,283,357,151,5,9,352,151
0500000US01007,01007,"Bibb County, Alabama",22604,*****,17327,15,4846,232,93,44,21,27,0,21,7,15,310,228,0,21,310,228
0500000US01009,01009,"Blount County, Alabama",57710,*****,54881,325,884,117,326,222,83,67,0,27,555,275,981,215,22,29,959,211
0500000US01011,01011,"Bullock County, Alabama",10678,*****,2845,482,7550,504,124,147,22,25,0,18,0,18,137,140,0,18,137,140
0500000US01013,01013,"Butler County, Alabama",20354,*****,11023,83,8961,101,13,12,81,74,0,21,59,64,217,62,0,21,217,62
0500000US01015,01015,"Calhoun County, Alabama",116648,*****,87615,439,23895,437,223,107,1000,142,7,11,1162,424,2746,461,182,192,2564,441
0500000US01017,01017,"Chambers County, Alabama",34079,*****,19652,84,13738,169,57,31,260,26,9,16,12,21,351,147,18,26,333,144
0500000US01019,01019,"Cherokee County, Alabama",26008,*****,24167,64,1281,131,144,63,88,86,4,7,17,21,307,109,5,8,302,107
0500000US01021,01021,"Chilton County, Alabama",43819,*****,36828,470,4528,109,158,84,126,75,0,24,1805,470,374,166,22,25,352,165
0500000US01023,01023,"Choctaw County, Alabama",13395,*****,7487,5,5801,65,2,4,0,18,0,18,2,5,103,65,0,18,103,65
0500000US01025,01025,"Clarke County, Alabama",25070,*****,13427,48,11346,187,7,8,90,91,96,148,24,39,80,77,10,15,70,71
0500000US01027,01027,"Clay County, Alabama",13537,*****,11065,124,1963,153,105,48,0,18,0,18,192,146,212,164,22,30,190,161
0500000US01029,01029,"Cleburne County, Alabama",15002,*****,14098,112,442,108,33,45,53,65,0,18,85,79,291,125,22,34,269,118
0500000US01031,01031,"Coffee County, Alabama",50884,*****,39067,230,8829,228,475,123,627,98,0,27,398,207,1488,270,11,9,1477,270
0500000US01033,01033,"Colbert County, Alabama",54444,*****,43311,261,8478,301,312,128,178,59,35,39,687,358,1443,347,274,187,1169,311
0500000US01035,01035,"Conecuh County, Alabama",12865,*****,6710,55,5752,203,37,39,6,11,0,18,2,3,358,215,0,18,358,215
0500000US01037,01037,"Coosa County, Alabama",11027,*****,7427,18,3384,175,7,11,0,18,0,18,0,18,209,175,0,18,209,175
0500000US01039,01039,"Covington County, Alabama",37886,*****,31954,91,4933,84,171,76,117,53,23,28,170,93,518,124,69,72,449,124
0500000US01041,01041,"Crenshaw County, Alabama",13938,*****,9966,87,3277,97,108,37,253,18,0,18,154,89,180,87,0,18,180,87
