"StateName","FIPS","CountyName","Votes","Trump","Clinton","Other","TrumpPCT","ClintonPCT","OtherPCT","TrumpVClinton","TrumpVClintonPCT","FIPSWinner","StateWinner"
"Alabama","01107","Pickens",9542,5456,3972,114,57.1787885139384,41.6264933976106,1.19471808845106,1484,15.5522951163278,"Trump","Trump"
"Alabama","01007","Bibb",8819,6738,1874,207,76.4032203197641,21.2495747817213,2.34720489851457,4864,55.1536455380429,"Trump","Trump"
"Alabama","01079","Lawrence",14829,10833,3627,369,73.0528019421404,24.4588306696338,2.48836738822577,7206,48.5939712725066,"Trump","Trump"
"Alabama","01115","St. Clair",38400,31651,5589,1160,82.4244791666667,14.5546875,3.02083333333333,26062,67.8697916666667,"Trump","Trump"
"Alabama","01109","Pike",13168,7693,5056,419,58.4219319562576,38.3961117861482,3.18195625759417,2637,20.0258201701093,"Trump","Trump"
"Alabama","01091","Marengo",10994,5233,5615,146,47.5986901946516,51.0733127160269,1.32799708932145,-382,-3.4746225213753,"Clinton","Trump"
"Alabama","01069","Houston",42639,30728,10664,1247,72.0654799596613,25.0099674007364,2.92455263960224,20064,47.0555125589249,"Trump","Trump"
"Alabama","01003","Baldwin",95215,72883,18458,3874,76.5457123352413,19.3856010082445,4.0686866565142,54425,57.1601113269968,"Trump","Trump"
"Alabama","01021","Chilton",18369,15081,2911,377,82.1002776416789,15.8473515161413,2.05237084217976,12170,66.2529261255376,"Trump","Trump"
"Alabama","01075","Lamar",6966,5823,1036,107,83.5917312661499,14.8722365776629,1.5360321561872,4787,68.7194946884869,"Trump","Trump"
"Alabama","01133","Winston",10313,9228,872,213,89.4792979734316,8.45534761950936,2.06535440705905,8356,81.0239503539222,"Trump","Trump"
"Alabama","01057","Fayette",8249,6712,1362,175,81.3674384773912,16.5110922536065,2.1214692690023,5350,64.8563462237847,"Trump","Trump"
"Alabama","01053","Escambia",14845,9935,4605,305,66.9248905355338,31.020545638262,2.05456382620411,5330,35.9043448972718,"Trump","Trump"
"Alabama","01123","Tallapoosa",19486,13594,5519,373,69.7629067022478,28.3228984912245,1.91419480652776,8075,41.4400082110233,"Trump","Trump"
"Alabama","01129","Washington",8533,6042,2374,117,70.8074534161491,27.8213992734091,1.37114731044181,3668,42.98605414274,"Trump","Trump"
"Alabama","01049","DeKalb",25826,21405,3622,799,82.8815921939131,14.0246263455433,3.09378146054364,17783,68.8569658483699,"Trump","Trump"
"Alabama","01095","Marshall",35316,29233,4917,1166,82.7755125155737,13.9228678219504,3.30161966247593,24316,68.8526446936233,"Trump","Trump"
"Alabama","01087","Macon",9140,1431,7566,143,15.6564551422319,82.7789934354486,1.56455142231947,-6135,-67.1225382932166,"Clinton","Trump"
"Alabama","01131","Wilcox",6123,1742,4339,42,28.4501061571125,70.8639555773314,0.6859382655561,-2597,-42.4138494202188,"Clinton","Trump"
"Alabama","01009","Blount",25588,22859,2156,573,89.3348444583398,8.42582460528373,2.23933093637643,20703,80.9090198530561,"Trump","Trump"
"Alabama","01037","Coosa",5252,3381,1782,89,64.3754760091394,33.9299314546839,1.69459253617669,1599,30.4455445544554,"Trump","Trump"
"Alabama","01025","Clarke",13031,7140,5749,142,54.7924180799632,44.1178727649451,1.0897091550917,1391,10.674545315018,"Trump","Trump"
"Alabama","01121","Talladega",33407,20614,12121,672,61.7056305564702,36.2828149788966,2.01155446463316,8493,25.4228155775736,"Trump","Trump"
"Alabama","01059","Franklin",12040,9466,2197,377,78.6212624584718,18.2475083056478,3.1312292358804,7269,60.3737541528239,"Trump","Trump"
"Alabama","01011","Bullock",4710,1140,3530,40,24.203821656051,74.9469214437367,0.849256900212314,-2390,-50.7430997876858,"Clinton","Trump"
"Alabama","01031","Coffee",20767,15875,4221,671,76.4433957721385,20.3255164443588,3.23108778350267,11654,56.1178793277796,"Trump","Trump"
"Alabama","01033","Colbert",24915,16746,7312,857,67.212522576761,29.3477824603652,3.43969496287377,9434,37.8647401163958,"Trump","Trump"
"Alabama","01071","Jackson",20984,16672,3673,639,79.451010293557,17.503812428517,3.04517727792604,12999,61.94719786504,"Trump","Trump"
"Alabama","01093","Marion",12984,11274,1432,278,86.8299445471349,11.0289587184227,2.14109673444239,9842,75.8009858287123,"Trump","Trump"
"Alabama","01081","Lee",59191,34617,21230,3344,58.4835532428917,35.8669392306263,5.64950752648207,13387,22.6166140122654,"Trump","Trump"
"Alabama","01077","Lauderdale",39525,27899,9952,1674,70.5857052498419,25.1790006325111,4.23529411764706,17947,45.4067046173308,"Trump","Trump"
