"StateName","CountyName","FIPSWinner","VariableName","VariableValue","TrumpVClinton","TrumpVClintonPCT","CumTrumpVClinton"
"Texas","Loving, TX","Trump","BAorHigherPCT",1.9,54,83.0769230769231,3.94097680773829e-05
"West Virginia","Mcdowell, WV","Trump","BAorHigherPCT",5.1,3191,51.0886967659302,0.00236823513724273
"Georgia","Wheeler, GA","Trump","BAorHigherPCT",5.6,775,36.8696479543292,0.00293383829020517
"Tennessee","Morgan, TN","Trump","BAorHigherPCT",6.4,4387,65.4287844891872,0.00613551704123255
"Texas","Newton, TX","Trump","BAorHigherPCT",6.4,3132,56.5955908926635,0.00842128358972076
"Kentucky","Martin, KY","Trump","BAorHigherPCT",6.5,3140,79.4333417657475,0.0107128886223686
"Georgia","Quitman, GA","Trump","BAorHigherPCT",6.7,114,10.9195402298851,0.010796087021643
"Colorado","Bent, CO","Trump","BAorHigherPCT",7,598,31.0326933056565,0.0112325137125741
"Kentucky","Mccreary, KY","Trump","BAorHigherPCT",7,4348,75.2770083102493,0.0144057298533233
"Missouri","Washington, MO","Trump","BAorHigherPCT",7.1,5122,55.1820728291317,0.0181438193365151
"Mississippi","Issaquena, MS","Clinton","BAorHigherPCT",7.2,-97,-13.8769670958512,0.0180730277160798
"Georgia","Wilkinson, GA","Trump","BAorHigherPCT",7.4,439,10.2402612549568,0.0183934145343385
"Kentucky","Elliott, KY","Trump","BAorHigherPCT",7.5,1260,44.1330998248687,0.0193129757894775
"Georgia","Webster, GA","Trump","BAorHigherPCT",7.6,157,14.068100358423,0.0194275560411098
"Nevada","Lander, NV","Trump","BAorHigherPCT",7.6,1425,59.0551181102362,0.0204675360320408
"Florida","Union, FL","Trump","BAorHigherPCT",7.8,3554,62.1111499475708,0.0230612826199485
"Georgia","Atkinson, GA","Trump","BAorHigherPCT",7.8,1181,45.2490421455939,0.0239231888440113
"Georgia","Clay, GA","Clinton","BAorHigherPCT",7.8,-131,-10.2906520031422,0.0238275836658976
"Kentucky","Estill, KY","Trump","BAorHigherPCT",7.8,3128,56.4111812443643,0.026110430972306
"Ohio","Holmes, OH","Trump","BAorHigherPCT",7.8,6932,62.4167116873762,0.0311694774966101
"Texas","Bailey, TX","Trump","BAorHigherPCT",7.8,947,52.8165086447295,0.0318606080590042
"Arkansas","Lee, AR","Clinton","BAorHigherPCT",7.9,-506,-16.7217448777264,0.0314913239359087
"Arkansas","Sevier, AR","Trump","BAorHigherPCT",7.9,2207,48.3779044278825,0.0331020157534418
"Florida","Dixie, FL","Trump","BAorHigherPCT",7.9,4552,62.8208666850676,0.0364241132402611
"Georgia","Macon, GA","Clinton","BAorHigherPCT",7.9,-1165,-27.1751807790996,0.0355738839845176
"Kentucky","Lee, KY","Trump","BAorHigherPCT",7.9,1707,64.0044994375703,0.0368196705420749
"West Virginia","Wyoming, WV","Trump","BAorHigherPCT",7.9,5485,69.6065989847716,0.040822681244009
"Illinois","Alexander, IL","Trump","BAorHigherPCT",8,234,8.29787234042553,0.0409934569056777
"North Carolina","Tyrrell, NC","Trump","BAorHigherPCT",8,255,14.6635997699828,0.0411795585882653
"Texas","Frio, TX","Clinton","BAorHigherPCT",8,-588,-13.3636363636364,0.0407504300025338
"Georgia","Glascock, GA","Trump","BAorHigherPCT",8.1,1097,78.9208633093525,0.0415510321429207
"Missouri","Reynolds, MO","Trump","BAorHigherPCT",8.1,1866,61.4219881500988,0.0429128585731502
"Tennessee","Jackson, TN","Trump","BAorHigherPCT",8.1,2107,47.1786833855799,0.0444505693386881
"Texas","Duval, TX","Clinton","BAorHigherPCT",8.1,-1467,-35.1967370441459,0.0433799373059192
"West Virginia","Logan, WV","Trump","BAorHigherPCT",8.1,7805,62.7411575562701,0.0490761084141409
"Alabama","Conecuh, AL","Trump","BAorHigherPCT",8.2,340,5.16324981017464,0.0493242439909245
"Mississippi","Greene, MS","Trump","BAorHigherPCT",8.2,3361,62.6001117526541,0.0517771371484816
"Tennessee","Meigs, TN","Trump","BAorHigherPCT",8.2,2486,57.5462962962963,0.0535914461010811
"Texas","Hudspeth, TX","Trump","BAorHigherPCT",8.2,179,20.5510907003444,0.0537220821841524
"Georgia","Echols, GA","Trump","BAorHigherPCT",8.3,851,71.9966159052453,0.0543431509366312
"Mississippi","Perry, MS","Trump","BAorHigherPCT",8.3,2915,53.6634756995582,0.0564705486022899
"Texas","Willacy, TX","Clinton","BAorHigherPCT",8.3,-1875,-36.8007850834151,0.0551021538773808
"Arkansas","Poinsett, AR","Trump","BAorHigherPCT",8.4,3622,46.9049469049469,0.0577455275806452
"Florida","Glades, FL","Trump","BAorHigherPCT",8.4,1725,39.3655864901871,0.0590044507275616
"Georgia","Brantley, GA","Trump","BAorHigherPCT",8.4,4948,78.5272179019203,0.0626155531802818
"Texas","Zapata, TX","Clinton","BAorHigherPCT",8.4,-1034,-32.9089751750477,0.0618609291026519
"Alabama","Coosa, AL","Trump","BAorHigherPCT",8.5,1599,30.4455445544554,0.0630278961240544
"Georgia","Wilcox, GA","Trump","BAorHigherPCT",8.5,1244,41.8010752688172,0.0639357804108741
"Kentucky","Magoffin, KY","Trump","BAorHigherPCT",8.5,2652,51.8373729476153,0.0658712379097856
"Mississippi","Tallahatchie, MS","Clinton","BAorHigherPCT",8.5,-875,-14.9063032367973,0.065232653704828
"Pennsylvania","Forest, PA","Trump","BAorHigherPCT",8.5,1057,43.6957420421662,0.0660040634244168
"South Carolina","Marlboro, SC","Clinton","BAorHigherPCT",8.5,-1687,-16.2383290018289,0.0647728730772585
"Georgia","Baker, GA","Trump","BAorHigherPCT",8.6,125,8.68055555555555,0.0648640993922525
"Kentucky","Leslie, KY","Trump","BAorHigherPCT",8.6,3615,80.4764024933215,0.0675023644218773
"Louisiana","Grant, LA","Trump","BAorHigherPCT",8.6,6227,70.5929032989457,0.0720468945296155
"Ohio","Harrison, OH","Trump","BAorHigherPCT",8.6,3410,47.9943701618579,0.0745355484026502
"Virginia","Greensville, VA","Clinton","BAorHigherPCT",8.6,-821,-18.817327526931,0.07393637396577
"Kentucky","Butler, KY","Trump","BAorHigherPCT",8.7,3481,62.4282639885222,0.0764768443857213
"Arkansas","Jackson, AR","Trump","BAorHigherPCT",8.8,1684,32.6609775019395,0.0777058453013197
"Georgia","Chattooga, GA","Trump","BAorHigherPCT",8.8,4849,58.7615123606398,0.0812446965125647
"Louisiana","East Carroll, LA","Clinton","BAorHigherPCT",8.8,-779,-26.5056141544743,0.0806761741175224
"Tennessee","Wayne, TN","Trump","BAorHigherPCT",8.8,4319,73.7408229469011,0.0838282257531931
"West Virginia","Boone, WV","Trump","BAorHigherPCT",8.8,4714,53.696320765463,0.0872685525442446
"Arkansas","Lincoln, AR","Trump","BAorHigherPCT",8.9,1203,31.4427600627287,0.0881465145997463
"Georgia","Johnson, GA","Trump","BAorHigherPCT",8.9,1383,37.5203472599023,0.0891558425488393
"Idaho","Owyhee, ID","Trump","BAorHigherPCT",8.9,2461,62.7006369426752,0.09095190623844
"Tennessee","Lake, TN","Trump","BAorHigherPCT",8.9,780,39.5939086294416,0.0915211584440022
"Florida","Taylor, FL","Trump","BAorHigherPCT",9,4778,51.1125374411639,0.0950081931083307
"South Carolina","Dillon, SC","Clinton","BAorHigherPCT",9,-197,-1.6840485553086,0.0948644204359002
"Tennessee","Scott, TN","Trump","BAorHigherPCT",9,5110,71.7394356310543,0.0985937521928525
"Texas","Zavala, TX","Clinton","BAorHigherPCT",9,-1942,-57.1849234393404,0.0971764601631067
"Indiana","Switzerland, IN","Trump","BAorHigherPCT",9.1,1628,44.0118951067856,0.0983645916895878
"Kentucky","Grayson, KY","Trump","BAorHigherPCT",9.1,6260,59.1906202723147,0.102933205544484
"Ohio","Vinton, OH","Trump","BAorHigherPCT",9.1,2532,45.7039711191336,0.104781085781002
"Tennessee","Lauderdale, TN","Trump","BAorHigherPCT",9.1,1828,22.6041795474218,0.106115179411473
"Tennessee","Union, TN","Trump","BAorHigherPCT",9.1,4041,64.6870497838963,0.109064343722597
"Texas","Starr, TX","Clinton","BAorHigherPCT",9.1,-7065,-60.1788756388416,0.10390823239914
"Georgia","Dooly, GA","Trump","BAorHigherPCT",9.2,79,2.04716247732573,0.103965887430216
"Kentucky","Hickman, KY","Trump","BAorHigherPCT",9.2,1208,56.0037088548911,0.104847498538317
"Kentucky","Webster, KY","Trump","BAorHigherPCT",9.2,3157,54.3841515934539,0.107151510349804
"Missouri","Douglas, MO","Trump","BAorHigherPCT",9.2,4502,67.5367536753675,0.110437117310626
"Tennessee","Johnson, TN","Trump","BAorHigherPCT",9.2,4422,67.2138622891017,0.113664339429852
"Georgia","Meriwether, GA","Trump","BAorHigherPCT",9.3,1418,15.3846153846154,0.114699210747143
"Georgia","Telfair, GA","Trump","BAorHigherPCT",9.3,1137,29.9525816649104,0.115529005308328
"Ohio","Noble, OH","Trump","BAorHigherPCT",9.3,3328,55.1084616658387,0.117957814718727
"Virginia","Covington, VA","Trump","BAorHigherPCT",9.3,435,18.2619647355164,0.118275282294906
"West Virginia","Webster, WV","Trump","BAorHigherPCT",9.3,1746,57.9873796081036,0.119549531462741
"Arkansas","Monroe, AR","Trump","BAorHigherPCT",9.4,177,6.1373092926491,0.119678707924772
"Georgia","Worth, GA","Trump","BAorHigherPCT",9.4,4132,49.8131404460518,0.122694284993212
"Illinois","Lawrence, IL","Trump","BAorHigherPCT",9.4,3231,53.3344338065368,0.125052302783175
"Michigan","Lake, MI","Trump","BAorHigherPCT",9.4,1220,22.7696901829041,0.125942671617516
"Texas","Garza, TX","Trump","BAorHigherPCT",9.4,995,67.0485175202156,0.126668833084868
"Illinois","Gallatin, IL","Trump","BAorHigherPCT",9.5,1285,47.4695234577023,0.127606639603006
"Kentucky","Breckinridge, KY","Trump","BAorHigherPCT",9.5,4524,51.5614315021655,0.130908302395267
"Louisiana","Avoyelles, LA","Trump","BAorHigherPCT",9.5,6130,36.9588809839624,0.135382040882569
"South Dakota","Buffalo, SD","Clinton","BAorHigherPCT",9.5,-125,-25.5102040816327,0.135290814567576
"Tennessee","Macon, TN","Trump","BAorHigherPCT",9.5,5191,69.1764392324094,0.139079260976644
"West Virginia","Lincoln, WV","Trump","BAorHigherPCT",9.5,3848,53.9162112932605,0.141887571857417
"Alabama","Clay, AL","Trump","BAorHigherPCT",9.6,4008,60.5072463768116,0.144812652421383
"Georgia","Burke, GA","Clinton","BAorHigherPCT",9.6,-240,-2.5665704202759,0.144637497896595
