"StateName","CountyName","FIPSWinner","VariableName","VariableValue","TrumpVClinton","TrumpVClintonPCT","CumTrumpVClinton"
"Virginia","Lexington, VA","Clinton","MedianAge",21.4,-748,-30.3448275862069,-0.000545898268923748
"Virginia","Radford, VA","Clinton","MedianAge",22.3,-287,-4.71884248602433,-0.000755353888149838
"Idaho","Madison, ID","Trump","MedianAge",23.2,7740,49.3370729219786,0.00489337953627504
"Georgia","Chattahoochee, GA","Trump","MedianAge",23.3,157,11.294964028777,0.00500795978790743
"Virginia","Harrisonburg, VA","Clinton","MedianAge",23.5,-3950,-21.9603046644799,0.00212520823409887
"South Dakota","Todd, SD","Clinton","MedianAge",23.9,-1018,-47.9058823529412,0.00138226112478821
"Washington","Whitman, WA","Clinton","MedianAge",24.2,-743,-4.12136676281341,0.000840011908464216
"Utah","Utah, UT","Trump","MedianAge",24.4,73660,36.1713202581,0.0545978548080942
"Virginia","Williamsburg, VA","Clinton","MedianAge",24.6,-3281,-43.0238657225282,0.0522033464921333
"Kansas","Riley, KS","Trump","MedianAge",24.7,766,3.48593792664057,0.0527623813504161
"Mississippi","Oktibbeha, MS","Clinton","MedianAge",25,-283,-1.56146546016332,0.0525558449732699
"Utah","Cache, UT","Trump","MedianAge",25,12576,26.9189605719423,0.0617339420721803
"South Dakota","Oglala Lakota, SD","Clinton","MedianAge",25.1,-2269,-78.1067125645439,0.0600780020024103
"South Dakota","Clay, SD","Clinton","MedianAge",25.2,-499,-9.84415072006313,0.0597138265529545
"Texas","Brazos, TX","Trump","MedianAge",25.2,15617,23.2357798574638,0.0711112774430376
"Iowa","Story, IA","Clinton","MedianAge",25.9,-6251,-12.3374188327708,0.0665492318828206
"South Dakota","Buffalo, SD","Clinton","MedianAge",25.9,-125,-25.5102040816327,0.0664580055678266
"North Carolina","Onslow, NC","Trump","MedianAge",26.1,19608,34.3187188238383,0.0807681302430363
"Kansas","Geary, KS","Trump","MedianAge",26.2,1552,20.682302771855,0.0819007961700011
"Georgia","Bulloch, GA","Trump","MedianAge",26.3,5836,23.0526149470691,0.0861599703644383
"Michigan","Isabella, MI","Trump","MedianAge",26.3,934,3.65700861393893,0.086841613390073
"South Dakota","Brookings, SD","Trump","MedianAge",26.4,1869,14.7397476340694,0.0882056292518624
"Georgia","Clarke, GA","Clinton","MedianAge",26.5,-16886,-37.1316738499428,0.0758820488119608
"Wyoming","Albany, WY","Trump","MedianAge",26.6,712,4.17350527549824,0.0764016739021663
"Missouri","Pulaski, MO","Trump","MedianAge",26.8,6954,51.5569395017794,0.0814767762579093
"North Dakota","Sioux, ND","Clinton","MedianAge",27,-498,-40.4220779220779,0.0811133306189734
"Oklahoma","Payne, OK","Trump","MedianAge",27.2,7863,28.3249279538905,0.0868518307373523
"Louisiana","Lincoln, LA","Trump","MedianAge",27.4,3654,19.5725534308211,0.0895185583772552
"South Dakota","Ziebach, SD","Trump","MedianAge",27.5,15,1.95567144719687,0.0895295055350545
"Virginia","Montgomery, VA","Clinton","MedianAge",27.5,-562,-1.30603518393716,0.0891193520228417
"Georgia","Liberty, GA","Clinton","MedianAge",27.6,-3422,-21.1980424951992,0.0866219404235676
"Indiana","Tippecanoe, IN","Trump","MedianAge",27.9,3486,5.50371808838158,0.0891660598961186
"Missouri","Adair, MO","Trump","MedianAge",27.9,2530,24.7408566399374,0.091012480511596
"Ohio","Athens, OH","Clinton","MedianAge",28,-5016,-16.8837725941634,0.0873517509435191
"Texas","Kleberg, TX","Clinton","MedianAge",28,-349,-3.6690496215307,0.087097047072056
"Utah","Iron, UT","Trump","MedianAge",28.1,9111,51.0964051371207,0.0937463507193345
"Missouri","Nodaway, MO","Trump","MedianAge",28.3,3851,40.7168534573906,0.0965568510316678
"Texas","Webb, TX","Clinton","MedianAge",28.3,-29360,-51.5947632018276,0.0751296141658908
"Indiana","Monroe, IN","Clinton","MedianAge",28.4,-13624,-23.3072159304752,0.065186675642071
"Idaho","Latah, ID","Clinton","MedianAge",28.5,-828,-4.55620976173444,0.0645823925315512
"Kentucky","Christian, KY","Trump","MedianAge",28.5,6920,31.3363220576914,0.0696326813296158
"Mississippi","Lafayette, MS","Trump","MedianAge",28.5,2903,14.7788016087156,0.0717513212690351
"Nebraska","Thurston, NE","Trump","MedianAge",28.6,124,5.93869731800766,0.0718418177735091
"Virginia","Lynchburg, VA","Trump","MedianAge",28.7,3190,8.94634994531229,0.0741699133321545
"Kansas","Douglas, KS","Clinton","MedianAge",28.8,-16507,-32.95665541957,0.0621229310793145
"Texas","Hidalgo, TX","Clinton","MedianAge",28.8,-70167,-40.4567652807648,0.0109143163258752
"Texas","Gaines, TX","Trump","MedianAge",28.9,3310,71.6450216450217,0.0133299891469148
"Washington","Adams, WA","Trump","MedianAge",28.9,1784,37.3065662902551,0.0146319711145083
