"StateName","CountyName","FIPSWinner","VariableName","VariableValue","TrumpVClinton","TrumpVClintonPCT","CumTrumpVClinton"
"South Dakota","Buffalo, SD","Clinton","MedianHouseholdIncome",22.894,-125,-25.5102040816327,-9.12263149939418e-05
"Alabama","Wilcox, AL","Clinton","MedianHouseholdIncome",23.014,-2597,-42.4138494202188,-0.00198654423530808
"Kentucky","Owsley, KY","Trump","MedianHouseholdIncome",23.341,1218,69.2438885730529,-0.00109763502200711
"Kentucky","Bell, KY","Trump","MedianHouseholdIncome",23.968,6044,62.1938670508335,0.00331333976057997
"Kentucky","Clay, KY","Trump","MedianHouseholdIncome",24.001,5109,75.4987439042412,0.00704194170701236
"Mississippi","Holmes, MS","Clinton","MedianHouseholdIncome",24.065,-5380,-66.617137196632,0.0031155611096731
"Alabama","Greene, AL","Clinton","MedianHouseholdIncome",25.398,-3175,-65.0614754098361,0.000798412708826979
"Mississippi","Humphreys, MS","Clinton","MedianHouseholdIncome",25.625,-1920,-45.1446038090759,-0.000602823489479967
"Kentucky","Mccreary, KY","Trump","MedianHouseholdIncome",25.655,4348,75.2770083102493,0.0025703926512693
"Alabama","Sumter, AL","Clinton","MedianHouseholdIncome",25.931,-3165,-49.3682732802995,0.000260542355622698
"Georgia","Clay, GA","Clinton","MedianHouseholdIncome",25.941,-131,-10.2906520031422,0.000164937177509047
"Mississippi","Coahoma, MS","Clinton","MedianHouseholdIncome",25.948,-3952,-44.3447037701975,-0.00271927399733942
"Kentucky","Lee, KY","Trump","MedianHouseholdIncome",26.201,1707,64.0044994375703,-0.00147348743978215
"Alabama","Perry, AL","Clinton","MedianHouseholdIncome",26.218,-2417,-45.7938613111027,-0.00323743946650501
"Louisiana","East Carroll, LA","Clinton","MedianHouseholdIncome",26.325,-779,-26.5056141544743,-0.00380596186154725
"Mississippi","Jefferson, MS","Clinton","MedianHouseholdIncome",26.405,-2847,-73.7564766839378,-0.00588373241184927
"West Virginia","Mcdowell, WV","Trump","MedianHouseholdIncome",26.413,3191,51.0886967659302,-0.00355490704268392
"Mississippi","Quitman, MS","Clinton","MedianHouseholdIncome",26.467,-1311,-38.9598811292719,-0.00451168863434039
"Mississippi","Leflore, MS","Clinton","MedianHouseholdIncome",26.52,-4575,-41.0682226211849,-0.00785057176311866
"Mississippi","Claiborne, MS","Clinton","MedianHouseholdIncome",26.959,-3168,-74.1573033707865,-0.0101626114903251
"Louisiana","Tensas, LA","Clinton","MedianHouseholdIncome",27.077,-150,-5.88697017268446,-0.0102720830683178
"South Carolina","Allendale, SC","Clinton","MedianHouseholdIncome",27.089,-1946,-54.1759465478842,-0.0116922943401435
"New Mexico","Luna, NM","Trump","MedianHouseholdIncome",27.151,283,3.8793694311172,-0.0114857579629972
"Kentucky","Wolfe, KY","Trump","MedianHouseholdIncome",27.196,1051,39.8861480075901,-0.0107187271065282
"Louisiana","Madison, LA","Clinton","MedianHouseholdIncome",27.225,-817,-17.2654268808115,-0.0113149823013286
"Kentucky","Harlan, KY","Trump","MedianHouseholdIncome",27.425,7757,72.1111834154504,-0.00565384209806454
"Mississippi","Washington, MS","Clinton","MedianHouseholdIncome",27.539,-6136,-36.4695393759287,-0.0101319594484872
"Mississippi","Sharkey, MS","Clinton","MedianHouseholdIncome",27.589,-787,-35.9360730593607,-0.010706320327689
"Texas","Zavala, TX","Clinton","MedianHouseholdIncome",27.711,-1942,-57.1849234393404,-0.0121236123574349
"Colorado","Costilla, CO","Clinton","MedianHouseholdIncome",27.944,-537,-29.0584415584416,-0.0125155206066489
"Tennessee","Hancock, TN","Trump","MedianHouseholdIncome",27.987,1521,68.1757059614523,-0.0114054788058026
"Mississippi","Noxubee, MS","Clinton","MedianHouseholdIncome",28.041,-3147,-56.4585575888052,-0.0137021925120901
"Missouri","Shannon, MO","Trump","MedianHouseholdIncome",28.171,2190,56.0963114754098,-0.0121039074733962
"Mississippi","Sunflower, MS","Clinton","MedianHouseholdIncome",28.184,-3931,-40.9564492602626,-0.0149727926273257
"Kentucky","Breathitt, KY","Trump","MedianHouseholdIncome",28.196,2454,42.7675148135239,-0.0131818376113646
