"StateName","CountyName","FIPSWinner","VariableName","VariableValue","TrumpVClinton","TrumpVClintonPCT","CumTrumpVClinton"
"South Dakota","Oglala Lakota, SD","Clinton","WhiteAlonePCT",5.00953861372147,-2269,-78.1067125645439,-0.00165594006977003
"South Dakota","Todd, SD","Clinton","WhiteAlonePCT",10.1991550995776,-1018,-47.9058823529412,-0.00239888717908069
"Wisconsin","Menominee, WI","Clinton","WhiteAlonePCT",11.008762075938,-735,-56.1926605504587,-0.00293529791124507
"Mississippi","Claiborne, MS","Clinton","WhiteAlonePCT",13.6227224008574,-3168,-74.1573033707865,-0.00524733763845153
"Mississippi","Jefferson, MS","Clinton","WhiteAlonePCT",13.9335618244134,-2847,-73.7564766839378,-0.00732510818875355
"North Dakota","Sioux, ND","Clinton","WhiteAlonePCT",14.0867579908676,-498,-40.4220779220779,-0.00768855382768942
"Mississippi","Holmes, MS","Clinton","WhiteAlonePCT",16.5405923716173,-5380,-66.617137196632,-0.0116149344250287
"Alabama","Macon, AL","Clinton","WhiteAlonePCT",16.8348486362274,-6135,-67.1225382932166,-0.0160923219649313
"New Mexico","Mckinley, NM","Clinton","WhiteAlonePCT",16.9328900781102,-8472,-39.0360779615721,-0.0222752766899607
"Alabama","Greene, AL","Clinton","WhiteAlonePCT",17.7877428998505,-3175,-65.0614754098361,-0.0245924250908069
"Virginia","Petersburg, VA","Clinton","WhiteAlonePCT",18.1489898203779,-10570,-76.6719860728275,-0.0323065222866946
"South Dakota","Buffalo, SD","Clinton","WhiteAlonePCT",18.4985279685967,-125,-25.5102040816327,-0.0323977486016885
"North Dakota","Rolette, ND","Clinton","WhiteAlonePCT",20.0648365291764,-882,-23.4886817576565,-0.0330414414802858
"Maryland","Prince George'S, MD","Clinton","WhiteAlonePCT",20.3923316786438,-311238,-79.7259116000871,-0.260186208088961
"New York","Bronx, NY","Clinton","WhiteAlonePCT",20.9939811965776,-315849,-79.0567227837265,-0.490696131005134
"Mississippi","Tunica, MS","Clinton","WhiteAlonePCT",21.0842798511024,-1814,-50.8550602747407,-0.492020007288326
"South Dakota","Dewey, SD","Clinton","WhiteAlonePCT",21.72432335544,-165,-9.66042154566745,-0.492140426024118
"Hawaii","Honolulu, HI","Clinton","WhiteAlonePCT",21.7316379760572,-85370,-29.871584030232,-0.55444435011238
"Georgia","Clayton, GA","Clinton","WhiteAlonePCT",21.9145018972137,-65575,-70.0737337037829,-0.602301674958202
"Mississippi","Humphreys, MS","Clinton","WhiteAlonePCT",22.606856634016,-1920,-45.1446038090759,-0.603702911156509
"Mississippi","Coahoma, MS","Clinton","WhiteAlonePCT",22.6102795596737,-3952,-44.3447037701975,-0.606587122331358
"Arizona","Apache, AZ","Clinton","WhiteAlonePCT",23.2405301979923,-8843,-31.9691985105383,-0.613040836759289
"Georgia","Hancock, GA","Clinton","WhiteAlonePCT",24.5355252786848,-1858,-51.8994413407821,-0.614396824705359
"South Carolina","Allendale, SC","Clinton","WhiteAlonePCT",24.6696483025005,-1946,-54.1759465478842,-0.615817035977185
"South Dakota","Ziebach, SD","Trump","WhiteAlonePCT",24.9205788916343,15,1.95567144719687,-0.615806088819385
"Alabama","Sumter, AL","Clinton","WhiteAlonePCT",24.9981260775054,-3165,-49.3682732802995,-0.618115939115032
"Mississippi","Leflore, MS","Clinton","WhiteAlonePCT",25.3966239370478,-4575,-41.0682226211849,-0.62145482224381
"Alabama","Lowndes, AL","Clinton","WhiteAlonePCT",25.4980450567864,-3132,-46.8581687612208,-0.623740588792298
"Mississippi","Sunflower, MS","Clinton","WhiteAlonePCT",25.7855325857189,-3931,-40.9564492602626,-0.626609473946228
"Alabama","Bullock, AL","Clinton","WhiteAlonePCT",26.6435662109009,-2390,-50.7430997876858,-0.628353721088912
"Mississippi","Washington, MS","Clinton","WhiteAlonePCT",27.1641851350532,-6136,-36.4695393759287,-0.632831838439335
"Mississippi","Hinds, MS","Clinton","WhiteAlonePCT",27.3005685839088,-42319,-44.5102390693859,-0.663716689833164
"Alabama","Wilcox, AL","Clinton","WhiteAlonePCT",27.3520249221184,-2597,-42.4138494202188,-0.665612007753478
"Mississippi","Noxubee, MS","Clinton","WhiteAlonePCT",27.7663106883245,-3147,-56.4585575888052,-0.667908721459765
"Mississippi","Sharkey, MS","Clinton","WhiteAlonePCT",27.9292403746098,-787,-35.9360730593607,-0.668483082338967
