"StateName","CountyName","FIPSWinner","VariableName","VariableValue","TrumpVClinton","TrumpVClintonPCT","CumTrumpVClinton"
"Alabama","Choctaw, AL","Trump","UrbanPCT",0,997,13.6725178277565,0.0469536190549748
"Alabama","Clay, AL","Trump","UrbanPCT",0,4008,60.5072463768116,0.2357099933502
"Alabama","Cleburne, AL","Trump","UrbanPCT",0,5080,77.0514181707872,0.47495210448287
"Alabama","Coosa, AL","Trump","UrbanPCT",0,1599,30.4455445544554,0.550256855605141
"Alabama","Crenshaw, AL","Trump","UrbanPCT",0,2849,45.4603478538376,0.684430236435255
"Alabama","Greene, AL","Clinton","UrbanPCT",0,-3175,-65.0614754098361,0.534903916977336
"Alabama","Lamar, AL","Trump","UrbanPCT",0,4787,68.7194946884869,0.760347221306488
"Alabama","Lowndes, AL","Clinton","UrbanPCT",0,-3132,-46.8581687612208,0.612845982710519
"Alabama","Perry, AL","Clinton","UrbanPCT",0,-2417,-45.7938613111027,0.499017600307436
"Alabama","Pickens, AL","Trump","UrbanPCT",0,1484,15.5522951163278,0.568906437496586
"Alabama","Sumter, AL","Clinton","UrbanPCT",0,-3165,-49.3682732802995,0.41985106707633
"Alabama","Washington, AL","Trump","UrbanPCT",0,3668,42.98605414274,0.592595174091021
"Alabama","Wilcox, AL","Clinton","UrbanPCT",0,-2597,-42.4138494202188,0.470289709010009
"Alabama","Lawrence, AL","Trump","UrbanPCT",8.71021287748624,7206,48.5939712725066,0.809655585549776
"Alabama","Dekalb, AL","Trump","UrbanPCT",9.8693554964913,17783,68.8569658483699,1.64714425922542
"Alabama","Blount, AL","Trump","UrbanPCT",10.0484979588989,20703,80.9090198530561,2.62215005189858
"Alabama","Geneva, AL","Trump","UrbanPCT",10.3583426651736,8469,72.0275557067528,3.02099679189516
"Alabama","Hale, AL","Clinton","UrbanPCT",10.8312182741117,-1602,-19.9253731343284,2.94555075606159
"Alabama","Marion, AL","Trump","UrbanPCT",11.1450480894203,9842,75.8009858287123,3.40905879892925
"Alabama","Henry, AL","Trump","UrbanPCT",12.2471390590683,3340,41.3776015857284,3.5663557775086
"Alabama","Chilton, AL","Trump","UrbanPCT",13.2552757601448,12170,66.2529261255376,4.13950075634415
"Alabama","Cherokee, AL","Trump","UrbanPCT",14.2637269614067,7406,69.0021429236933,4.48828561363718
"Alabama","Winston, AL","Trump","UrbanPCT",15.1078255187061,8356,81.0239503539222,4.88181062950816
"Alabama","Randolph, AL","Trump","UrbanPCT",18.657530659451,5414,53.1461666830274,5.13678243849877
"Alabama","Conecuh, AL","Trump","UrbanPCT",19.0504989416389,340,5.16324981017464,5.1527947057793
"Alabama","Fayette, AL","Trump","UrbanPCT",19.7668348703671,5350,64.8563462237847,5.40475244092886
"Alabama","Monroe, AL","Trump","UrbanPCT",20.9554361019594,1463,14.2439879271736,5.47365228513892
"Alabama","Jackson, AL","Trump","UrbanPCT",22.9826967516486,12999,61.94719786504,6.08583893919671
"Alabama","Clarke, AL","Trump","UrbanPCT",24.019664769868,1391,10.674545315018,6.1513479503356
"Alabama","Tallapoosa, AL","Trump","UrbanPCT",25.7737408688966,8075,41.4400082110233,6.53163929824826
"Alabama","Walker, AL","Trump","UrbanPCT",25.912000358086,19769,67.0772258414766,7.46265845080372
"Alabama","Cullman, AL","Trump","UrbanPCT",26.7604407631271,29191,77.0760172154305,8.83740578664502
"Alabama","St. Clair, AL","Trump","UrbanPCT",27.2032347206106,26062,67.8697916666667,10.0647931686016
"Alabama","Butler, AL","Trump","UrbanPCT",28.7678426504989,1175,13.4562528630325,10.120129680527
"Alabama","Franklin, AL","Trump","UrbanPCT",29.6334847337875,7269,60.3737541528239,10.4624625360041
"Alabama","Covington, AL","Trump","UrbanPCT",30.3482060108566,10880,68.2559598494354,10.9748550889811
"Alabama","Marengo, AL","Clinton","UrbanPCT",30.6843582061159,-382,-3.4746225213753,10.9568648357424
"Alabama","Bibb, AL","Trump","UrbanPCT",31.6473925376391,4864,55.1536455380429,11.1859344476616
"Alabama","Barbour, AL","Trump","UrbanPCT",32.2103652984667,583,5.5688222370809,11.2133907765573
"Alabama","Escambia, AL","Trump","UrbanPCT",36.4884261071531,5330,35.9043448972718,11.4644066136315
"Alabama","Limestone, AL","Trump","UrbanPCT",42.3908579159721,19599,48.6399960291855,12.3874196325467
"Alabama","Talladega, AL","Trump","UrbanPCT",44.1846617491585,8493,25.4228155775736,12.7873966502337
"Alabama","Macon, AL","Clinton","UrbanPCT",44.4527316800298,-6135,-67.1225382932166,12.4984694156276
"Alabama","Elmore, AL","Trump","UrbanPCT",45.8116338600053,19191,51.5056360708535,13.4022677138062
"Alabama","Marshall, AL","Trump","UrbanPCT",46.7313129575678,24316,68.8526446936233,14.5474273937869
"Alabama","Pike, AL","Trump","UrbanPCT",48.3206176479528,2637,20.0258201701093,14.6716166550185
"Alabama","Bullock, AL","Clinton","UrbanPCT",48.6256184716877,-2390,-50.7430997876858,14.5590598350171
"Alabama","Dale, AL","Trump","UrbanPCT",49.1114604684484,9395,50.1093391647555,15.0015164559013
